,Station,Month,Daily Rainfall Total (mm),Maximum Temperature (°C),Minimum Temperature (°C),Dengue Clusters,Date,Latitude,Longitude
71,Semakau Island,5.0,0.0,30.5,27.0,0,2013-05-31,1.189,103.768
72,Sembawang,5.0,85.8,32.8,22.9,0,2013-05-31,1.4252,103.8202
73,Sentosa Island,5.0,7.2,32.0,24.8,0,2013-05-31,1.25,103.8279
74,Tai Seng,5.0,32.4,32.8,25.0,0,2013-05-31,1.3399,103.8878
75,Tuas South,5.0,0.0,32.0,25.4,0,2013-05-31,1.2938,103.6184
76,Admiralty,6.0,14.0,35.1,24.4,0,2013-06-01,1.4439,103.7854
77,Ang Mo Kio,6.0,1.6,34.3,23.0,0,2013-06-01,1.3764,103.8492
78,Changi,6.0,22.4,33.0,22.6,0,2013-06-01,1.3678,103.9826
79,Choa Chu Kang (South),6.0,1.8,34.4,25.8,0,2013-06-01,1.3729,103.7224
80,Clementi,6.0,8.2,34.0,23.3,0,2013-06-01,1.3337,103.7768
81,East Coast Parkway,6.0,6.8,31.0,24.0,0,2013-06-01,1.3134,103.9619
82,Jurong (West),6.0,1.6,34.4,25.8,0,2013-06-01,1.3455,103.6806
83,Jurong Island,6.0,15.0,32.7,27.4,0,2013-06-01,1.2542,103.6741
84,Marina Barrage,6.0,0.0,32.9,26.1,0,2013-06-01,1.2799,103.8703
85,Newton,6.0,1.8,32.9,25.1,0,2013-06-01,1.3106,103.8365
86,Pasir Panjang,6.0,0.4,32.3,26.8,0,2013-06-01,1.281,103.754
87,Paya Lebar,6.0,1.2,33.7,23.8,0,2013-06-01,1.3524,103.9007
88,Pulau Ubin,6.0,45.0,33.6,22.4,0,2013-06-01,1.4168,103.9673
89,Seletar,6.0,25.8,35.0,22.2,0,2013-06-01,1.4166,103.8654
90,Semakau Island,6.0,5.2,30.8,27.9,0,2013-06-01,1.189,103.768
91,Sembawang,6.0,9.1,33.4,23.3,0,2013-06-01,1.4252,103.8202
92,Sentosa Island,6.0,5.4,31.7,25.8,0,2013-06-01,1.25,103.8279
93,Tai Seng,6.0,0.2,33.3,24.2,0,2013-06-01,1.3399,103.8878
94,Tuas South,6.0,18.6,31.9,27.0,0,2013-06-01,1.2938,103.6184
95,Admiralty,6.0,4.2,34.6,25.8,0,2013-06-02,1.4439,103.7854
96,Ang Mo Kio,6.0,0.6,35.5,25.6,0,2013-06-02,1.3764,103.8492
97,Changi,6.0,0.0,32.4,25.6,0,2013-06-02,1.3678,103.9826
98,Choa Chu Kang (South),6.0,0.0,34.0,25.4,0,2013-06-02,1.3729,103.7224
99,Clementi,6.0,0.0,33.9,25.4,0,2013-06-02,1.3337,103.7768
100,East Coast Parkway,6.0,0.4,30.9,26.2,0,2013-06-02,1.3134,103.9619
101,Jurong (West),6.0,1.0,34.2,24.9,0,2013-06-02,1.3455,103.6806
102,Jurong Island,6.0,0.0,32.8,22.9,0,2013-06-02,1.2542,103.6741
103,Marina Barrage,6.0,0.2,33.3,26.5,0,2013-06-02,1.2799,103.8703
104,Newton,6.0,0.2,32.8,25.8,0,2013-06-02,1.3106,103.8365
105,Pasir Panjang,6.0,0.4,33.3,25.9,0,2013-06-02,1.281,103.754
106,Paya Lebar,6.0,0.0,33.6,25.9,0,2013-06-02,1.3524,103.9007
107,Pulau Ubin,6.0,0.2,33.4,24.9,0,2013-06-02,1.4168,103.9673
108,Seletar,6.0,0.0,34.9,25.6,0,2013-06-02,1.4166,103.8654
109,Semakau Island,6.0,0.2,30.9,24.8,0,2013-06-02,1.189,103.768
110,Sembawang,6.0,1.8,34.4,23.9,0,2013-06-02,1.4252,103.8202
111,Sentosa Island,6.0,1.0,32.6,25.7,0,2013-06-02,1.25,103.8279
